experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64_opt,astar,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0004797999863512814,90,33,state,,,,,,89,2.6900030206888914e-05,56,33,0,2,False
study_random_64_opt,sfbds_f2f,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0021397999953478575,226,83,pair,0,83,0.0,33.0,0,179,5.350011633709073e-05,57,83,0,48,False
study_random_64_opt,sfbds_f2e,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.002085499989334494,226,83,pair,0,83,0.0,33.0,0,179,0.00015110004460439086,57,83,0,48,False
study_random_64_opt,astar,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.0007668000180274248,156,65,state,,,,,,116,4.259974230080843e-05,47,65,1,41,False
study_random_64_opt,sfbds_f2f,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.002354399999603629,253,109,pair,0,109,0.0,37.0,0,188,5.359994247555733e-05,52,109,13,66,False
study_random_64_opt,sfbds_f2e,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.0024243000079877675,253,109,pair,0,109,0.0,37.0,0,188,0.0001531994785182178,52,109,13,66,False
study_random_64_opt,astar,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.0013673999928869307,210,116,state,,,,,,163,4.1999854147434235e-05,42,116,1,48,False
study_random_64_opt,sfbds_f2f,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.005676599976141006,574,291,pair,0,291,0.0,47.0,0,354,0.00010759994620457292,40,291,20,221,False
study_random_64_opt,sfbds_f2e,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.00616940000327304,574,291,pair,0,291,0.0,47.0,0,354,0.00026940013049170375,40,291,20,221,False
study_random_64_opt,astar,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.0007736999541521072,136,50,state,,,,,,133,3.4200085792690516e-05,83,50,0,4,False
study_random_64_opt,sfbds_f2f,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.0012759999954141676,136,50,pair,50,0,49.0,0.0,0,133,4.000012995675206e-05,83,50,0,4,False
study_random_64_opt,sfbds_f2e,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.0012462000013329089,136,50,pair,50,0,49.0,0.0,0,133,9.300012607127428e-05,83,50,0,4,False
study_random_64_opt,astar,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.0008726000087335706,184,76,state,,,,,,158,3.8499769289046526e-05,69,76,0,27,False
study_random_64_opt,sfbds_f2f,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.0068802000023424625,788,336,pair,329,7,43.0,6.0,3,593,0.0001512999297119677,145,336,0,196,False
study_random_64_opt,sfbds_f2e,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.00830579997273162,893,385,pair,378,7,43.0,6.0,3,664,0.00045960041461512446,153,385,0,230,False
study_random_64_opt,astar,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.0007804000051692128,157,80,state,,,,,,136,3.260001540184021e-05,50,80,0,22,False
study_random_64_opt,sfbds_f2f,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.0033573000109754503,329,184,pair,170,14,43.0,8.0,5,287,7.69997714087367e-05,92,184,0,43,False
study_random_64_opt,sfbds_f2e,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.0042357000056654215,410,220,pair,206,14,43.0,8.0,5,340,0.00023910007439553738,99,220,0,71,False
study_random_64_opt,astar,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.000806500029284507,172,63,state,,,,,,159,3.5999983083456755e-05,87,63,0,14,False
study_random_64_opt,sfbds_f2f,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.0015993999550119042,172,63,pair,63,0,52.0,0.0,0,159,4.460004856809974e-05,87,63,0,14,False
study_random_64_opt,sfbds_f2e,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.0015528000076301396,172,63,pair,63,0,52.0,0.0,0,159,0.00010819965973496437,87,63,0,14,False
study_random_64_opt,astar,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0006974999560043216,140,64,state,,,,,,127,2.9699993319809437e-05,62,64,0,14,False
study_random_64_opt,sfbds_f2f,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0013352999812923372,140,64,pair,64,0,52.0,0.0,0,127,3.3100019209086895e-05,62,64,0,14,False
study_random_64_opt,sfbds_f2e,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0014312000130303204,140,64,pair,64,0,52.0,0.0,0,127,9.010027861222625e-05,62,64,0,14,False
study_random_64_opt,astar,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.002289600030053407,440,233,state,,,,,,309,7.27999722585082e-05,48,233,32,132,False
study_random_64_opt,sfbds_f2f,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.004314200021326542,440,233,pair,233,0,56.0,0.0,0,309,7.990014273673296e-05,48,233,32,132,False
study_random_64_opt,sfbds_f2e,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.00439300003927201,440,233,pair,233,0,56.0,0.0,0,309,0.00020370027050375938,48,233,32,132,False
study_random_64_opt,astar,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.0010296999826095998,222,84,state,,,,,,200,4.8200017772614956e-05,102,84,0,23,False
study_random_64_opt,sfbds_f2f,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.0021591000258922577,222,84,pair,84,0,62.0,0.0,0,200,5.880009848624468e-05,102,84,0,23,False
study_random_64_opt,sfbds_f2e,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.0021852999925613403,222,84,pair,84,0,62.0,0.0,0,200,0.00014330015983432531,102,84,0,23,False
study_random_64_opt,astar,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.002112199959810823,463,211,state,,,,,,351,7.950013969093561e-05,86,211,0,113,False
study_random_64_opt,sfbds_f2f,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.00449369999114424,462,211,pair,210,1,61.0,1.0,1,350,0.00010010000551119447,85,211,0,113,False
study_random_64_opt,sfbds_f2e,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.0044921999797225,462,211,pair,210,1,61.0,1.0,1,350,0.0002449001185595989,85,211,0,113,False
study_random_64_opt,astar,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.004838199994992465,967,509,state,,,,,,657,0.00016240030527114868,67,509,43,311,False
study_random_64_opt,sfbds_f2f,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.021702900005038828,2234,1139,pair,1114,25,69.0,1.0,11,1571,0.00039989943616092205,221,1139,74,664,False
study_random_64_opt,sfbds_f2e,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.09127099998295307,8339,4355,pair,4330,25,65.0,5.0,11,5422,0.0038512000464834273,331,2527,143,2918,False
study_random_64_opt,astar,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.0010161999962292612,215,80,state,,,,,,179,4.760012961924076e-05,78,80,0,37,False
study_random_64_opt,sfbds_f2f,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.0019204000127501786,215,80,pair,80,0,45.0,0.0,0,179,5.0300091970711946e-05,78,80,0,37,False
study_random_64_opt,sfbds_f2e,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.002158000017516315,215,80,pair,80,0,45.0,0.0,0,179,0.00014219986042007804,78,80,0,37,False
study_random_64_opt,astar,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.0006552000413648784,129,60,state,,,,,,117,2.8900045435875654e-05,54,60,0,13,False
study_random_64_opt,sfbds_f2f,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.0012275000335648656,129,60,pair,60,0,45.0,0.0,0,117,3.160012420266867e-05,54,60,0,13,False
study_random_64_opt,sfbds_f2e,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.0012863000156357884,129,60,pair,60,0,45.0,0.0,0,117,8.270028047263622e-05,54,60,0,13,False
study_random_64_opt,astar,110,4,random_obstacles,64,64,0.2998046875,1228,e94fb1e6df4d21d5,16,24,33,52,True,goal_found,59.0,0.0025252000195905566,488,267,state,,,,,,354,8.58000130392611e-05,64,267,13,135,False
study_random_64_opt,sfbds_f2f,110,4,random_obstacles,64,64,0.2998046875,1228,e94fb1e6df4d21d5,16,24,33,52,True,goal_found,59.0,0.044813299959059805,4334,2434,pair,2339,95,54.0,5.0,63,2920,0.0007800984312780201,301,2434,172,1415,False
study_random_64_opt,sfbds_f2e,110,4,random_obstacles,64,64,0.2998046875,1228,e94fb1e6df4d21d5,16,24,33,52,True,goal_found,59.0,0.18984419998014346,17213,9871,pair,9776,95,54.0,5.0,63,11546,0.008261703187599778,780,5983,669,5668,False
study_random_64_opt,astar,110,5,random_obstacles,64,64,0.099853515625,409,416178fa295fd1ab,60,29,22,57,True,goal_found,66.0,0.0013284999877214432,303,116,state,,,,,,255,5.4800009820610285e-05,112,116,0,49,False
